Date,Open,High,Low,Close,Adj Close,Volume
03-01-17,28.95000076,29.08250046,28.69000053,29.03750038,26.92154884,115127600
04-01-17,28.96249962,29.12750053,28.9375,29.00499916,26.89141655,84472400
05-01-17,28.97999954,29.21500015,28.95249939,29.15250015,27.02816391,88774400
06-01-17,29.19499969,29.54000092,29.11750031,29.47750092,27.32947731,127007600
09-01-17,29.48749924,29.85750008,29.48500061,29.74749947,27.57980728,134247600
10-01-17,29.69249916,29.84499931,29.57500076,29.77750015,27.60762405,97848400
11-01-17,29.68499947,29.98250008,29.64999962,29.9375,27.75596809,110354400
12-01-17,29.72500038,29.82500076,29.55249977,29.8125,27.64006996,108344800
13-01-17,29.77750015,29.90500069,29.70249939,29.76000023,27.59140396,104447600
17-01-17,29.58499908,30.05999947,29.55500031,30,27.81391525,137759200
18-01-17,30,30.125,29.92749977,29.99749947,27.8115921,94852000
19-01-17,29.85000038,30.02249908,29.84250069,29.94499969,27.76291847,102389200
20-01-17,30.11249924,30.11249924,29.93250084,30,27.81391525,130391600
23-01-17,30,30.20249939,29.94249916,30.02000046,27.83245087,88200800
24-01-17,29.88750076,30.02499962,29.875,29.99250031,27.80695724,92844000
25-01-17,30.10499954,30.52499962,30.06999969,30.46999931,28.24965858,129510400
26-01-17,30.41749954,30.61000061,30.39999962,30.48500061,28.2635746,105350400
27-01-17,30.53499985,30.58749962,30.39999962,30.48749924,28.26588821,82251600
30-01-17,30.23250008,30.40749931,30.16500092,30.40749931,28.19171715,121510000
31-01-17,30.28750038,30.34749985,30.15500069,30.33749962,28.1268158,196804000
01-02-17,31.75749969,32.62250137,31.75250053,32.1875,29.84200478,447940000
02-02-17,31.99500084,32.34749985,31.94499969,32.13249969,29.79101181,134841600
03-02-17,32.07749939,32.29750061,32.04000092,32.27000046,29.91849327,98029200
06-02-17,32.28250122,32.625,32.22499847,32.57249832,30.19894981,107383600
07-02-17,32.63499832,33.02249908,32.61249924,32.88249969,30.48636436,152735200
08-02-17,32.83750153,33.05500031,32.80500031,33.00999832,30.6045723,92016400
09-02-17,32.91249847,33.11249924,32.77999878,33.10499954,30.82572746,113399600
10-02-17,33.11500168,33.23500061,33.01250076,33.02999878,30.75588036,80262000
13-02-17,33.27000046,33.45500183,33.1875,33.32249832,31.02824211,92141600
14-02-17,33.36750031,33.77249908,33.3125,33.75500107,31.43097305,132904800
15-02-17,33.88000107,34.06750107,33.65499878,33.87749863,31.54503059,142492400
16-02-17,33.91749954,33.97499847,33.70999908,33.83750153,31.50780106,90338400
17-02-17,33.77500153,33.95750046,33.77500153,33.93000031,31.59391785,88792800
21-02-17,34.05749893,34.1875,33.99499893,34.17499924,31.82205391,98028800
22-02-17,34.10749817,34.27999878,34.02750015,34.27750015,31.91749191,83347600
23-02-17,34.34500122,34.36999893,34.07500076,34.13249969,31.78247643,83152800
24-02-17,33.97750092,34.16500092,33.81999969,34.16500092,31.81274605,87106400
27-02-17,34.28499985,34.36000061,34.06999969,34.23249817,31.87559128,81029600
28-02-17,34.27000046,34.36000061,34.17499924,34.24750137,31.88956451,93931600
01-03-17,34.47249985,35.03749847,34.40000153,34.94749832,32.54137039,145658400
02-03-17,35,35.06999969,34.68999863,34.74000168,32.34815216,104844000
03-03-17,34.69499969,34.95750046,34.64749908,34.94499969,32.53904343,84432400
06-03-17,34.84249878,34.94250107,34.65000153,34.83499908,32.43660355,87000000
07-03-17,34.76499939,34.99499893,34.69749832,34.88000107,32.47852325,69785200
08-03-17,34.73749924,34.95000076,34.70500183,34.75,32.35746002,74828800
09-03-17,34.68500137,34.69749832,34.26250076,34.66999817,32.28296661,88623600
10-03-17,34.8125,34.84000015,34.65999985,34.78499985,32.39005661,78451200
13-03-17,34.71250153,34.85749817,34.70500183,34.79999924,32.40402603,69686800
14-03-17,34.82500076,34.91249847,34.70999908,34.74750137,32.3551445,61236400
15-03-17,34.85250092,35.1875,34.75749969,35.11500168,32.69732285,102767200
16-03-17,35.18000031,35.25500107,35.06499863,35.17250061,32.75086975,76928000
17-03-17,35.25,35.25,34.97249985,34.99750137,32.58792114,175540000
20-03-17,35.09999847,35.375,35.05749893,35.36500168,32.93012238,86168000
21-03-17,35.52750015,35.70000076,34.93249893,34.95999908,32.55300903,158119600
22-03-17,34.96250153,35.40000153,34.93999863,35.35499954,32.9208107,103440800
23-03-17,35.31499863,35.39500046,35.15250015,35.22999954,32.80441666,81385200
24-03-17,35.375,35.43500137,35.08750153,35.15999985,32.73923874,89582400
27-03-17,34.84749985,35.30500031,34.65499878,35.22000122,32.7951088,94300400
28-03-17,35.22750092,36.00999832,35.15499878,35.95000076,33.47483444,133499200
29-03-17,35.91999817,36.12250137,35.79750061,36.02999878,33.54933929,116760000
30-03-17,36.04750061,36.125,35.875,35.98249817,33.50510788,84829200
31-03-17,35.93000031,36.06750107,35.75249863,35.91500092,33.44225311,78646800
03-04-17,35.92750168,36.02999878,35.76250076,35.92499924,33.45156097,79942800
04-04-17,35.8125,36.22249985,35.79249954,36.19250107,33.70064926,79565600
05-04-17,36.05500031,36.36500168,35.95249939,36.00500107,33.52605438,110871600
06-04-17,36.07249832,36.13000107,35.86249924,35.91500092,33.44225311,84596000
07-04-17,35.93249893,36.04499817,35.81750107,35.83499908,33.36776352,66688800
10-04-17,35.90000153,35.97000122,35.72499847,35.79249954,33.32819366,75733600
11-04-17,35.73500061,35.83750153,35.01499939,35.40750122,32.96969223,121517600
12-04-17,35.40000153,35.53749847,35.25249863,35.45000076,33.00927734,81400000
13-04-17,35.47750092,35.59500122,35.26250076,35.26250076,32.83467865,71291600
17-04-17,35.36999893,35.47000122,35.21749878,35.45750046,33.01625443,66328400
18-04-17,35.35250092,35.50999832,35.27750015,35.29999924,32.86961365,58790000
19-04-17,35.47000122,35.5,35.11249924,35.16999817,32.74853897,69313600
20-04-17,35.30500031,35.72999954,35.29000092,35.61000061,33.15826797,93278400
21-04-17,35.61000061,35.66999817,35.46250153,35.56750107,33.11867905,69283600
24-04-17,35.875,35.98749924,35.79499817,35.90999985,33.43760681,68537200
25-04-17,35.97750092,36.22499847,35.96749878,36.13249969,33.64477158,75486000
26-04-17,36.11750031,36.15000153,35.84500122,35.91999817,33.44691467,80164800
27-04-17,35.97999954,36.04000092,35.82749939,35.94749832,33.47250366,56985200
28-04-17,36.02249908,36.07500076,35.81750107,35.91249847,33.43992615,83441600
01-05-17,36.27500153,36.79999924,36.24000168,36.64500046,34.12199783,134411600
02-05-17,36.88499832,37.02249908,36.70999908,36.87749863,34.33847427,181408800
03-05-17,36.39749908,36.87250137,36.06750107,36.76499939,34.23373413,182788000
04-05-17,36.63000107,36.78499985,36.45249939,36.63249969,34.11034393,93487600
05-05-17,36.68999863,37.24499893,36.68999863,37.24000168,34.67603683,109310800
08-05-17,37.25749969,38.42499924,37.25749969,38.25249863,35.61881638,195009600
09-05-17,38.46749878,38.72000122,38.36249924,38.49750137,35.84695053,156521600
10-05-17,38.40750122,38.48500061,38.02750015,38.31499863,35.67702103,103222800
11-05-17,38.11249924,38.51750183,38.07749939,38.48749924,35.98555374,109020400
12-05-17,38.67499924,39.10499954,38.66749954,39.02500153,36.48812103,130108000
15-05-17,39.00249863,39.16249847,38.76250076,38.92499924,36.39461899,104038800
16-05-17,38.98500061,39.01499939,38.68000031,38.86750031,36.34085083,80194000
17-05-17,38.40000153,38.64250183,37.42750168,37.5625,35.12070084,203070800
18-05-17,37.81750107,38.33499908,37.78250122,38.13499832,35.65597153,134272800
19-05-17,38.34500122,38.49499893,38.15750122,38.26499939,35.77753448,107843200
22-05-17,38.5,38.64500046,38.22750092,38.49750137,35.99490356,91865600
23-05-17,38.72499847,38.72499847,38.32749939,38.45000076,35.95050049,79675600
24-05-17,38.45999908,38.54249954,38.16749954,38.33499908,35.8429718,76712000
25-05-17,38.43249893,38.58750153,38.25749969,38.46749878,35.96686554,76942400
26-05-17,38.5,38.56000137,38.32749939,38.40250015,35.90608215,87710400
30-05-17,38.35499954,38.60749817,38.33250046,38.41749954,35.9201088,80507600
31-05-17,38.49250031,38.54249954,38.09500122,38.18999863,35.70740509,97804800
01-06-17,38.29249954,38.33250046,38.05500031,38.29499817,35.80557632,65616400
02-06-17,38.39500046,38.86249924,38.22249985,38.86249924,36.33617401,111082800
05-06-17,38.58499908,38.61249924,38.36500168,38.48249817,35.98088074,101326800
06-06-17,38.47499847,38.95249939,38.44499969,38.61249924,36.1024437,106499600
07-06-17,38.75500107,38.99499893,38.61999893,38.84249878,36.31748581,84278400
08-06-17,38.8125,38.88499832,38.59999847,38.74750137,36.22865295,85003200
09-06-17,38.79750061,38.79750061,36.50500107,37.24499893,34.82383347,259530800
12-06-17,36.43500137,36.52249908,35.62749863,36.35499954,33.99169159,289229200
13-06-17,36.79000092,36.86249924,36.28749847,36.64749908,34.26517868,136661600
14-06-17,36.875,36.875,35.95999908,36.29000092,33.93091202,126124800
15-06-17,35.83000183,36.11999893,35.55250168,36.07249832,33.72755432,128661600
16-06-17,35.94499969,36.125,35.54999924,35.56750107,33.25537491,201444400
